Time_s,Avg_Speed_mps,Rep_Speed_mps
269,10.5244427223509,5.67343748768364
270,10.5578318561972,5.55183254940178
271,10.5970556761905,5.43022761111991
272,10.6393234108475,5.30862267283804
273,10.6815911455045,5.18701773455617
274,10.6901846939957,5.06541279627431
275,10.6399398176555,4.94380785799244
276,10.5896949413153,4.82220291971057
277,10.5394500649751,4.70059798142871
278,10.4471665381617,4.60269478088152
279,10.4556336503042,5.14515801590358
280,10.721752226193,5.68762125092563
281,11.010636692261,6.23008448594769
282,11.2667816734326,6.77254772096975
283,11.5165110856137,7.31501095599181
284,11.7662404977948,7.85747419101387
285,12.015969909976,8.39993742603593
286,12.2358548869426,8.94240066105799
287,12.4470988007358,9.48486389608005
288,12.6613597838323,10.0273271311021
289,12.9499805915746,10.5697903661242
290,13.1818734861428,11.1122536011462
291,13.0390463585801,11.6547168361683
292,12.7884710148318,12.1971800711903
293,12.508470610034,12.7396433062124
294,12.2817101860123,13.2821065412345
295,12.075108625077,13.8245697762565
296,11.8674081682928,14.3560440527902
297,11.6355988557882,14.721618197324
298,11.4003755250271,15.0871923418579
299,11.1648133724077,15.4527664863917
300,10.9292512197884,15.8183406309255
301,10.6936890671691,16.1839147754593
302,10.3882006787258,16.5494889199931
303,10.1541747270504,16.9150630645269
304,10.0207289231301,17.2806372090607
305,9.88728311920982,17.6462113535945
306,9.72774107261263,18.0117854981283
307,9.56659529872953,18.3773596426621
308,9.46998900058661,18.742933787196
309,9.40285055401331,19.1085079317298
310,9.3228827841833,19.3457888436964
311,9.24175220093562,19.5714416214864
312,9.16062161768794,19.7970943992764
313,9.07949103444025,20.0227471770664
314,8.99672068663889,20.2483999548564
315,9.05011245453534,20.4740527326464
316,9.13258850496226,20.6997055104364
317,9.21506455538919,20.9253582882264
318,9.26007427497574,21.1510110660164
319,9.29807104420494,21.3766638438064
320,9.39595005101032,21.6023166215964
321,9.4938290578157,21.8279693993864
322,9.57291336870396,21.8656752180051
323,9.63590383365306,21.8338769721367
324,9.56217396039579,21.8020787262683
325,9.47015808270737,21.7702804803999
326,9.37814220501895,21.7384822345314
327,9.29253512086352,21.706683988663
328,9.2102352125633,21.6748857427946
329,9.12923247770426,21.6430874969262
330,9.13453391725557,21.6112892510578
331,9.08286028655534,20.5755212445731
332,9.03062104028812,19.5340970824185
333,8.9783817940209,18.4926729202638
334,8.92614254775368,17.4512487581091
335,8.87390330148646,16.4098245959544
336,7.92561488633408,15.3684004337998
337,7.93505563405177,14.3269762716451
338,7.93492884018405,13.2855521094904
339,7.91829034999599,12.2441279473357
340,7.89289615798702,11.2027037851811
341,7.86750196597805,10.1612796230264
342,7.84210777396909,9.11985546087173
343,7.81035821195894,8.07843129871705
344,7.75202870617056,7.03700713656238
345,7.67876620442071,5.99558297440771
346,7.65005773753112,5.46140330240935
347,7.67079153670863,5.49742590590096
348,7.69152533588614,5.53344850939257
349,7.71225913506365,5.56947111288419
350,7.73366090308901,5.6054937163758
351,7.75443775422273,5.64151631986741
352,7.76368240034121,5.67753892335902
353,7.77085283956902,5.71356152685063
354,7.75524972932163,5.74958413034225
355,7.73964661907424,5.78560673383386
356,7.72404350882686,5.82162933732547
357,7.6947906695674,5.85765194081708
358,7.61491806146153,5.89367454430869
359,7.54514694388965,5.92969714780031
360,7.49858182887988,5.96571975129192
361,7.4529845956083,6.00174235478353
362,7.40738736233673,6.03776495827514
363,7.33964176985864,6.07378756176676
364,7.2731704351183,6.10981016525837
365,7.22002778223449,6.14583276874998
366,7.16004981528106,6.18185537224159
367,7.0734172253556,6.2178779757332
368,6.95954252545821,6.25390057922482
369,6.74714864112882,6.28992318271643
370,6.52165262571958,6.32594578620804
371,6.46246117076404,6.36196838969965
372,6.4032697158085,6.39799099319127
373,6.34407826085295,6.43401359668288
374,6.28488680589741,6.47003620017449
375,6.27216027016976,6.97070799594508
376,6.36403704667769,7.50139858278477
377,6.49923825449362,8.03208916962446
378,6.65175828743483,8.56277975646416
379,6.80427832037604,9.09347034330385
380,6.95679835331725,9.62416093014354
381,7.10931838625846,10.1548515169832
382,7.24069596774998,10.6855421038229
383,7.35153008220046,11.2162326906626
384,7.46399215003016,11.7469232775023
385,7.60520454488596,12.1942147583116
386,8.09199651852173,12.3259847524884
387,8.57878849215749,12.4577547466653
388,9.09962864850494,12.5895247408422
